PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, ,type,title,author,journal,volume,pages,year,publisher
1761,"Hoffman, R.L.",1963,no article title available,Jour.Paleontology,Jour.Paleontology,37,1,171,4,, ,no result
1760,"Baird, D.",1958,no article title available,Jour.Paleontology,Jour.Paleontology,32,1,239,,, ,no result
1829,"Galloway, J.J. and St.Jean, J.",1961,no article title available,Bulls.Am.Paleontology,Bulls.Am.Paleontology,43,194,32,34,, ,no result
1104,"Whittington, H.B. and K.S.W. Campbell",1967,Silicified silurian trilobites from Maine,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,135,9,457,,, ,no result
4144,"Flower, R.H.",1976,no article title available,"New Mexico Bur.Mines and Mineral Resources Mem.28,Part I",New Mexico Bur.Mines and Mineral Resources Mem.28,,,12,,, ,no result
4154,"Flower, R.H.",1952,no article title available,Jour.Paleontology,Jour.Paleontology,26,1,46,15,, ,no result
4354,"Fortey, R.",1997,no article title available,Paleontology,Paleontology,40,2,406,,, ,article,Evolutionary history,"Fortey, RA and Owens, RM","Treatise on Invertebrate Paleontology, O (Arthropoda 1, Trilobita, Revised). Geological Society of America and University of Kansas Press, Lawrence, Kansas",,249--287,1997,
2767,"Cooper, G.A.",1955,New genera of middle Paleozoic brachiopods,"Jour.Paleontology,","Jour.Paleontology,",29,1,46,,, ,no result
4625,"Lesperance, P.J.",1975,no article title available,Jour.Paleontology,Jour.Paleontology,49,1,113,117,, ,no result
8028,"Briggs, D.E.",1979,no article title available,"Palaeontology,","Palaeontology,",22,,633,,, ,no result
14420,Raymond P.E.,1944,Late Paleozoic Xiphosurans,,,,,,,, ,book,Leanchoilia and Other Mid-Cambarian Arthropoda,"Raymond, Percy Edward",,,,1935,Museum
7426,H.L. Clark,1937,no article title available,San Diego Soc.Nat.Hist.Trans.,San Diego Soc.Nat.Hist.Trans.,8,28,368,,, ,no result
7547,"Conway Morris, S.",1985,no article title available,"Philos. Trans.,","Philos. Trans.,",307,1134,528,,, ,no result
